total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
1,3.005601177591367,100,160.352,yolov5l,0.9096701741218567,1,14.058131,17.8,0.399647214,0.38666868209838867,51.4205424785614,0.3948934078216553
2,3.8462361025198364,100,229.161,yolov5l,0.5923507412274679,9,12.796659,64.8,0.33371493599999996,0.3314540386199951,51.476460456848145,0.7662372589111328
3,3.5236847258419632,100,236.386,yolov5l,0.7124891405304273,12,12.354156,61.7,0.34138779599999997,0.33810949325561523,51.54277992248535,1.1466293334960938
4,3.609265262156677,100,197.637,yolov5l,0.6079192961517134,19,10.496006,59.2,0.30769643,0.3055276870727539,51.620585441589355,1.4864137172698975
5,3.473911236384007,100,171.976,yolov5l,0.4687656121594565,14,12.837979,58.8,0.33843868,0.3369159698486328,51.68916964530945,1.8509676456451416
6,3.8955515975715094,100,232.011,yolov5l,0.3437609374523163,2,12.495451,56.5,0.347098077,0.34585046768188477,51.81029796600342,2.2408087253570557
7,3.6956480288361395,100,213.46,yolov5l,0.795903438871557,11,12.697416,64.6,0.36460182199999996,0.3623230457305908,51.92078113555908,2.6413426399230957
8,3.4988072373730548,100,233.515,yolov5l,0.9394688010215759,1,13.473904,65.6,0.395533836,0.39403772354125977,52.10354232788086,3.077361822128296
9,3.5725907072981347,100,143.988,yolov5l,0.5518162995576859,10,11.886384,65.4,0.28103098,0.27784037590026855,52.12873840332031,3.3819236755371094
10,3.283081810212966,100,97.139,yolov5l,0.8358588516712189,2,11.534455,63.4,0.26764791499999996,0.26590704917907715,52.13982653617859,3.665032148361206
11,3.5126389000428975,100,300.841,yolov5l,0.6413755118846893,2,11.306611,58.7,0.263482135,0.2616894245147705,52.15211892127991,3.973376750946045
12,3.6662939371593675,100,144.7,yolov5l,0.8272436857223511,4,11.657136,61.8,0.27026804,0.268329381942749,52.15161895751953,4.272180557250977
13,3.5965908010581997,100,237.804,yolov5l,0.4544320265452067,15,13.024076,63.8,0.33366961,0.33224987983703613,52.22970676422119,4.651490926742554
14,3.7693152347802417,100,106.816,yolov5l,0.7447467088699341,5,13.562587,66.2,0.370131528,0.3673269748687744,52.36100506782532,5.042453289031982
15,3.799086021948839,100,161.065,yolov5l,0.6880049407482147,3,11.751984,60.2,0.28021280699999995,0.2770373821258545,52.376890659332275,5.347048044204712
16,3.6861913427674873,100,236.707,yolov5l,0.8940285742282867,4,12.013031,57.9,0.32091902299999997,0.31900882720947266,52.46339535713196,5.707103967666626
17,3.6040612114635526,100,221.161,yolov5l,0.6360231717427571,15,11.001681,56.0,0.28074352,0.2793467044830322,52.51381182670593,6.021137475967407
18,3.5682312575788506,100,246.969,yolov5l,0.6620432833830515,9,11.714753,58.5,0.27646320799999996,0.2746429443359375,52.55577826499939,6.336024522781372
19,3.5702668634823898,100,193.589,yolov5l,0.7400443645624014,13,11.607331,65.2,0.27725664299999997,0.274493932723999,52.602051734924316,6.653879642486572
20,3.5547399720326887,100,221.26,yolov5l,0.6182629823684692,5,18.312758,65.1,0.49453120500000003,0.49263954162597656,52.85488510131836,7.191581964492798
21,3.5410080388642964,100,273.995,yolov5l,0.7034956850111485,8,12.501921,58.3,0.280961411,0.2797420024871826,52.89305877685547,7.514561653137207
