total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
1,3.005601177591367,100,160.352,yolov5m,0.8922867774963379,1,6.761214,28.8,0.217136261,0.21029305458068848,16.447248458862305,0.21557211875915527
2,3.8462361025198364,100,229.161,yolov5m,0.6331973842212132,7,7.770549,68.0,0.247844242,0.24525237083435059,16.42034387588501,0.5004255771636963
3,3.5236847258419632,100,236.386,yolov5m,0.7226089626550675,10,6.445113,58.9,0.196470116,0.19393014907836914,16.331342220306396,0.7446079254150391
4,3.609265262156677,100,197.637,yolov5m,0.5672917796505822,18,6.790022,76.4,0.18243321299999998,0.17963171005249023,16.30221724510193,0.9630038738250732
5,3.473911236384007,100,171.976,yolov5m,0.44454379301322133,19,8.089518,70.6,0.259310924,0.2580580711364746,16.313153505325317,1.253922939300537
6,3.8955515975715094,100,232.011,yolov5m,0.3550153623024623,6,8.447733,68.1,0.2794047,0.2777853012084961,16.344178199768066,1.579521656036377
7,3.6956480288361395,100,213.46,yolov5m,0.7725947770205411,11,6.624312,60.9,0.195023842,0.19301533699035645,16.299001693725586,1.8093578815460205
8,3.4988072373730548,100,233.515,yolov5m,0.8477917313575745,1,8.281534,68.0,0.256391187,0.2542304992675781,16.336425065994263,2.105886459350586
9,3.5725907072981347,100,143.988,yolov5m,0.5568497590720654,8,10.015356,85.4,0.270768434,0.2686045169830322,16.364699602127075,2.400386095046997
10,3.283081810212966,100,97.139,yolov5m,0.7493639588356018,2,8.425698,73.5,0.265378866,0.2638835906982422,16.359121561050415,2.680316925048828
11,3.5126389000428975,100,300.841,yolov5m,0.5817485451698303,2,6.815839,64.4,0.179869318,0.17821025848388672,16.300668478012085,2.909543752670288
12,3.6662939371593675,100,144.7,yolov5m,0.8539336174726486,4,6.510726,66.9,0.179658817,0.1781771183013916,16.200191974639893,3.115525722503662
13,3.5965908010581997,100,237.804,yolov5m,0.44537412243730884,17,7.904704,72.7,0.23441177,0.23291277885437012,16.18902349472046,3.392935276031494
14,3.7693152347802417,100,106.816,yolov5m,0.7303033113479614,5,9.134498,73.4,0.306106753,0.3037416934967041,16.258326530456543,3.7243900299072266
15,3.799086021948839,100,161.065,yolov5m,0.6635578076044718,3,9.799597,73.4,0.319993453,0.31784796714782715,16.32170820236206,4.0810558795928955
16,3.6861913427674873,100,236.707,yolov5m,0.8207636475563049,4,7.86674,71.9,0.214540535,0.21320724487304688,16.30644392967224,4.338869571685791
17,3.6040612114635526,100,221.161,yolov5m,0.6681572863688836,13,7.295635,67.0,0.214316736,0.2124326229095459,16.299105882644653,4.593530178070068
