total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
1,3.005601177591367,100,160.352,yolov5n,0.7217363715171814,1,1.556331,16.1,0.059033612,0.05314326286315918,21.2485613822937,0.05727958679199219
2,3.8462361025198364,100,229.161,yolov5n,0.5078499217828115,6,1.609249,64.6,0.060135732000000004,0.05841708183288574,21.046793937683105,0.1551039218902588
3,3.5236847258419632,100,236.386,yolov5n,0.6245309822261333,8,1.376766,53.3,0.057993739999999995,0.056423187255859375,20.80831503868103,0.24907684326171875
4,3.609265262156677,100,197.637,yolov5n,0.547536721596351,13,1.152768,53.7,0.051263084,0.05002951622009277,20.631267786026,0.32988548278808594
5,3.473911236384007,100,171.976,yolov5n,0.43753857910633087,20,1.712764,62.3,0.061723709,0.06009221076965332,20.4345223903656,0.4273653030395508
6,3.8955515975715094,100,232.011,yolov5n,0,0,1.393185,50.7,0.065067155,0.06344485282897949,20.25169277191162,0.5263586044311523
7,3.6956480288361395,100,213.46,yolov5n,0.6972536891698837,10,1.195004,47.8,0.049081771,0.04785299301147461,20.058756351470947,0.609062910079956
8,3.4988072373730548,100,233.515,yolov5n,0.845280110836029,1,1.545589,58.9,0.056337928999999995,0.05507349967956543,19.88951277732849,0.7005672454833984
9,3.5725907072981347,100,143.988,yolov5n,0.6501817852258682,4,1.325863,59.0,0.053254798000000006,0.051070451736450195,19.689321994781494,0.7796788215637207
10,3.283081810212966,100,97.139,yolov5n,0.7865880131721497,1,1.241086,64.7,0.047353819000000005,0.0452122688293457,19.480543851852417,0.8444647789001465
11,3.5126389000428975,100,300.841,yolov5n,0.842924952507019,1,1.166196,49.3,0.048851759,0.04757976531982422,19.28805685043335,0.9363033771514893
12,3.6662939371593675,100,144.7,yolov5n,0.7523782551288605,4,1.405575,62.5,0.047516029,0.04586172103881836,19.059091567993164,1.0081915855407715
13,3.5965908010581997,100,237.804,yolov5n,0.4236668248971303,9,1.303342,56.5,0.045540358999999996,0.044355154037475586,18.854385375976562,1.0958881378173828
14,3.7693152347802417,100,106.816,yolov5n,0.5433944910764694,6,1.382992,64.9,0.055043952,0.05306100845336914,18.664297103881836,1.1701388359069824
15,3.799086021948839,100,161.065,yolov5n,0.5283311009407043,3,1.39172,59.4,0.052027044,0.0503993034362793,18.46379852294922,1.2508838176727295
16,3.6861913427674873,100,236.707,yolov5n,0.45909371972084045,3,1.364437,59.0,0.050117634,0.048920631408691406,18.28625226020813,1.343864917755127
17,3.6040612114635526,100,221.161,yolov5n,0.5068606598810717,11,1.216184,53.1,0.048371195,0.046767473220825195,18.101145029067993,1.4234139919281006
18,3.5682312575788506,100,246.969,yolov5n,0.6148033142089844,4,1.441586,61.4,0.050829186,0.049337148666381836,17.912978887557983,1.508711576461792
19,3.5702668634823898,100,193.589,yolov5n,0.6606173382865058,9,1.609432,63.5,0.060766328,0.059181928634643555,17.725756645202637,1.5993719100952148
20,3.5547399720326887,100,221.26,yolov5n,0.6934424042701721,2,1.63586,52.4,0.07292375400000001,0.07169890403747559,17.547425031661987,1.7064390182495117
21,3.5410080388642964,100,273.995,yolov5n,0.5377476712067922,6,1.263485,47.9,0.05147631,0.050307273864746094,17.346726655960083,1.7967562675476074
22,3.5739833800031526,100,166.071,yolov5n,0.4334505647420883,24,1.495296,61.3,0.052482125,0.05083942413330078,17.15232801437378,1.8763809204101562
23,3.559493740417646,100,227.463,yolov5n,0.5948991358280182,10,1.295284,58.5,0.046325966999999996,0.0444788932800293,16.95979380607605,1.9591059684753418
24,3.3083003451414017,100,240.527,yolov5n,0.6241199225187302,4,1.416927,56.9,0.057593475,0.05572700500488281,16.774709939956665,2.053297281265259
25,3.639743576054612,100,295.968,yolov5n,0.449777419368426,24,1.549862,56.8,0.053975043,0.052776336669921875,16.587793827056885,2.1481668949127197
26,3.5792207416021005,100,236.022,yolov5n,0.5573554535706838,9,1.309567,58.5,0.054887597,0.05326223373413086,16.395795345306396,2.2589688301086426
27,3.480482830227644,100,158.609,yolov5n,0,0,1.239316,52.5,0.053381461000000005,0.052194833755493164,16.201533794403076,2.3387579917907715
