total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
1,3.005601177591367,100,160.352,yolov5s,0.866612434387207,1,3.606498,35.9,0.1152741,0.10850214958190918,20.1557514667511,0.11325693130493164
2,3.8462361025198364,100,229.161,yolov5s,0.6853803515434265,5,3.61138,75.7,0.107900012,0.1061868667602539,20.00111484527588,0.25785136222839355
3,3.5236847258419632,100,236.386,yolov5s,0.7203041513760885,9,3.652945,74.2,0.115135564,0.11330890655517578,19.83440065383911,0.4203798770904541
4,3.609265262156677,100,197.637,yolov5s,0.5976082822855782,17,3.768301,79.7,0.11408243,0.11220359802246094,19.728122234344482,0.5771780014038086
5,3.473911236384007,100,171.976,yolov5s,0.5573052601380781,22,4.547962,80.0,0.128846936,0.12657999992370605,19.61351442337036,0.7461626529693604
6,3.8955515975715094,100,232.011,yolov5s,0.25440773367881775,1,3.990407,81.1,0.10787364999999999,0.10579848289489746,19.487175941467285,0.907386064529419
7,3.6956480288361395,100,213.46,yolov5s,0.6883677591880163,12,3.97405,77.2,0.122914893,0.12119078636169434,19.376399755477905,1.0789780616760254
8,3.4988072373730548,100,233.515,yolov5s,0.6893479824066162,1,4.574634,81.3,0.119607886,0.11750650405883789,19.289488077163696,1.2515575885772705
9,3.5725907072981347,100,143.988,yolov5s,0.5896420563970294,7,4.386829,94.0,0.11339035,0.11147236824035645,19.172308206558228,1.3982110023498535
10,3.283081810212966,100,97.139,yolov5s,0.5392358700434366,3,4.303395,91.8,0.10726310700000001,0.10504794120788574,19.007364511489868,1.5225083827972412
11,3.5126389000428975,100,300.841,yolov5s,0.8919002413749695,1,4.478199,87.0,0.129390659,0.12685251235961914,18.913050889968872,1.7157089710235596
12,3.6662939371593675,100,144.7,yolov5s,0.8147165030241013,4,3.655325,81.4,0.096280501,0.09469914436340332,18.74538826942444,1.841125726699829
13,3.5965908010581997,100,237.804,yolov5s,0.43631687946617603,16,3.961293,80.2,0.11031521400000001,0.10817813873291016,18.608637809753418,1.9913334846496582
14,3.7693152347802417,100,106.816,yolov5s,0.6572086989879609,5,4.322743,86.2,0.119420705,0.11800670623779297,18.477946043014526,2.135605812072754
15,3.799086021948839,100,161.065,yolov5s,0.6565268635749817,3,5.92192,90.0,0.17209465200000001,0.1698627471923828,18.413618803024292,2.3515350818634033
