name,avg conf,avg energy,Monitor,Analyzer,Planner,Executor,Total,Total Energy: mape-k + detection,Total Switches
nano,0.536,1.61,0.0,0.0,0.0,0.0,0.0,1.61,0
small,0.611,4.327,0.0,0.0,0.0,0.0,0.0,4.327,0
medium,0.652,8.918,0.0,0.0,0.0,0.0,0.0,8.918,0
large,0.675,17.705,0.0,0.0,0.0,0.0,0.0,17.705,0
EcoMLS,0.61,2.762,1.284,0.001,0.001,0.0,1.285,4.047,160
final ep02,0.612,3.044,1.166,0.001,0.001,0.0,1.168,4.212,324
final ep03,0.613,2.912,1.035,0.001,0.001,0.0,1.037,3.949,313
final ep04,0.616,3.564,0.959,0.001,0.001,0.001,0.961,4.525,676
Baseline1,0.609,2.47,1.226,0.001,0.001,0.0,1.228,3.697,20
Baseline2,0.609,2.399,1.21,0.001,0.001,0.0,1.213,3.612,5
Baseline3,0.609,3.319,1.658,0.001,0.002,0.0,1.661,4.98,106
