,total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_model_small,avg_conf_small,current_boxes_small,energy_consumption(J)_small,current_cpu_small,measure_duration(s)_small,current_model_medium,avg_conf_medium,current_boxes_medium,energy_consumption(J)_medium,current_cpu_medium,measure_duration(s)_medium,current_model_large,avg_conf_large,current_boxes_large,energy_consumption(J)_large,current_cpu_large,measure_duration(s)_large
0,4542,2.3229565191244377,100,123.409,yolov5n,0.6390102505683899,3,0.58142,6.5,0.022210123,yolov5s,0.7206671635309855,3,1.914241,45.6,0.060737763,yolov5m,0.878129631280899,2,3.902761,14.6,0.09663561,yolov5l,0.5086093544960022,18,11.731232,55.3,0.290872096
1,4505,2.326465635692157,100,211.801,yolov5n,0.7185075680414835,9,0.755309,8.9,0.036020595,yolov5s,0.7448036670684814,9,3.037163,71.8,0.084507515,yolov5m,0.7986700057983398,10,5.388963,61.6,0.1300090029999999,yolov5l,0.527114090465364,21,13.825527,50.3,0.342209732
2,4442,2.4734920076446603,100,194.391,yolov5n,0.722897469997406,1,0.75659,41.0,0.026862595,yolov5s,0.858172595500946,1,2.301203,23.0,0.0762432,yolov5m,0.9045966863632202,1,6.158676,65.1,0.183348902,yolov5l,0.5813797414302826,4,11.957061,52.6,0.305915706
3,4416,2.360194351005092,100,304.198,yolov5n,0.3986575416354246,43,0.826231,10.5,0.0403070509999999,yolov5s,0.547232228390714,47,3.386527,69.8,0.094665311,yolov5m,0.5687724488973618,50,5.138659,14.1,0.1413704519999999,yolov5l,0.3345362544059753,6,11.583528,66.2,0.292396664
4,4343,2.200093723345629,100,125.494,yolov5n,0.6520114690065384,4,0.837706,12.7,0.0292711339999999,yolov5s,0.8462254007657369,3,3.39202,60.1,0.094145587,yolov5m,0.7678460255265236,4,6.163681,63.9,0.148724768,yolov5l,0.545874665180842,3,20.812385,63.8,0.602171477
5,4435,2.178352664434866,100,138.279,yolov5n,0.5530013740062714,10,0.847898,10.5,0.040922402,yolov5s,0.608990959145806,11,3.567618,76.1,0.097426335,yolov5m,0.7081916779279709,10,5.150988,12.7,0.122945257,yolov5l,0.4950165663446699,14,13.069547,61.0,0.295726665
6,4489,2.608076271549252,100,180.177,yolov5n,0.6394867698351542,3,0.849485,9.7,0.029271758,yolov5s,0.9166558682918547,2,2.762016,60.7,0.0887220629999999,yolov5m,0.9093941152095796,2,5.491685,52.6,0.128401046,yolov5l,0.5358346084753672,15,12.921659,65.3,0.309981634
7,4550,2.372292933765586,100,183.096,yolov5n,0.615849707275629,8,0.850888,9.6,0.029725132,yolov5s,0.7192336287763383,9,3.487723,63.7,0.094827118,yolov5m,0.8360133171081543,8,6.685103,69.4,0.15404582,yolov5l,0.4001861115296681,3,11.555512,56.9,0.252260887
8,1625,2.571929301019422,100,216.689,yolov5n,0.633683517575264,4,0.856016,11.0,0.030643021,yolov5s,0.6511411890387535,8,4.372853,84.1,0.121568759,yolov5m,0.660387786951932,11,4.739367,21.7,0.129678876,yolov5l,0.6058266321818034,15,10.280918,54.6,0.277057346
9,4397,2.493752595625132,100,235.143,yolov5n,0.8151381611824036,1,0.857175,41.3,0.029719311,yolov5s,0.9260439276695251,1,2.58349,59.8,0.083477234,yolov5m,0.948418915271759,1,5.270739,53.7,0.121420025,yolov5l,0.557384534428517,24,17.375749,61.9,0.4109337409999999
